vessel_name,mmsi,imo,timestamp,latitude,longitude,speed_kn,course_deg
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T10:45:00,59.7,24.55,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T10:50:00,59.71041666666667,24.577083333333334,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T10:55:00,59.72083333333334,24.604166666666668,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:00:00,59.73125,24.63125,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:05:00,59.74166666666667,24.658333333333335,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:10:00,59.75208333333334,24.68541666666667,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:15:00,59.7625,24.7125,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:20:00,59.77291666666667,24.739583333333332,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:25:00,59.78333333333334,24.766666666666666,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:30:00,59.79375,24.79375,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:35:00,59.80416666666667,24.820833333333333,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:40:00,59.81458333333334,24.847916666666666,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:45:00,59.825,24.875,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:50:00,59.83541666666667,24.902083333333334,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T11:55:00,59.84583333333334,24.929166666666667,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:00:00,59.85625,24.95625,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:05:00,59.86666666666667,24.983333333333334,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:10:00,59.87708333333334,25.010416666666668,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:15:00,59.8875,25.0375,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:20:00,59.89791666666667,25.06458333333333,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:25:00,59.90833333333334,25.091666666666665,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:30:00,59.91875,25.11875,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:35:00,59.92916666666667,25.145833333333332,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:40:00,59.93958333333334,25.172916666666666,11.5,70
DEMO VESSEL 01,D000001,DIMO001,2024-12-25T12:45:00,59.95,25.2,11.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T10:45:00,59.82,24.62,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T10:50:00,59.82041666666667,24.643333333333334,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T10:55:00,59.82083333333333,24.666666666666668,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:00:00,59.82125,24.69,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:05:00,59.821666666666665,24.713333333333335,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:10:00,59.82208333333333,24.736666666666668,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:15:00,59.8225,24.76,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:20:00,59.822916666666664,24.783333333333335,8.5,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:25:00,59.82333333333333,24.82150704036602,4.2,70
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:30:00,59.82375,24.83618177727863,3.8,77
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:35:00,59.82416666666666,24.845173016669996,3.5,84
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:40:00,59.82458333333333,24.86166681356841,3.1,91
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:45:00,59.825,24.891951406229992,2.8,98
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:50:00,59.82541666666667,24.92963583888573,3.1,105
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T11:55:00,59.825833333333335,24.961525777002088,3.5,112
DEMO VESSEL 02,D000002,DIMO002,2024-12-25T12:00:00,59.82625,24.979754317602357,3.8,119
